A1,A2,A3,A4,A5,B,composition,Pred_Phase_p06
Mn,Cu,Ni,Co,Zn,Mo,Mn0.2Cu0.2Ni0.2Co0.2Zn0.2Mo2O4,0
Mn,Cu,Ni,Co,Zn,N,Mn0.2Cu0.2Ni0.2Co0.2Zn0.2N2O4,0
Mn,Cu,Ni,Co,Zn,Nb,Mn0.2Cu0.2Ni0.2Co0.2Zn0.2Nb2O4,0
Mn,Cu,Ni,Co,Zn,Ni,Mn0.2Cu0.2Ni0.2Co0.2Zn0.2Ni2O4,0
Mn,Cu,Ni,Co,Zn,Ru,Mn0.2Cu0.2Ni0.2Co0.2Zn0.2Ru2O4,0
Mn,Ag,Fe,Ni,Co,Ag,Mn0.2Ag0.2Fe0.2Ni0.2Co0.2Ag2O4,0
Mn,Ag,Fe,Ni,Co,Al,Mn0.2Ag0.2Fe0.2Ni0.2Co0.2Al2O4,0
Mn,Ag,Fe,Ni,Co,B,Mn0.2Ag0.2Fe0.2Ni0.2Co0.2B2O4,0
Mn,Ag,Fe,Ni,Co,Bi,Mn0.2Ag0.2Fe0.2Ni0.2Co0.2Bi2O4,0
Mn,Ag,Fe,Ni,Co,Ti,Mn0.2Ag0.2Fe0.2Ni0.2Co0.2Ti2O4,0
Mn,Ag,Fe,Ni,Co,Co,Mn0.2Ag0.2Fe0.2Ni0.2Co0.2Co2O4,0
Mn,Ag,Fe,Ni,Co,Cr,Mn0.2Ag0.2Fe0.2Ni0.2Co0.2Cr2O4,0
Mn,Ag,Fe,Ni,Co,Cu,Mn0.2Ag0.2Fe0.2Ni0.2Co0.2Cu2O4,0
Mn,Ag,Fe,Ni,Co,Fe,Mn0.2Ag0.2Fe0.2Ni0.2Co0.2Fe2O4,0
Mn,Ag,Fe,Ni,Co,V,Mn0.2Ag0.2Fe0.2Ni0.2Co0.2V2O4,0
Mn,Ag,Fe,Ni,Co,Ga,Mn0.2Ag0.2Fe0.2Ni0.2Co0.2Ga2O4,0
Mn,Ag,Fe,Ni,Co,In,Mn0.2Ag0.2Fe0.2Ni0.2Co0.2In2O4,0
Mn,Ag,Fe,Ni,Co,Mn,Mn0.2Ag0.2Fe0.2Ni0.2Co0.2Mn2O4,0
Mn,Ag,Fe,Ni,Co,Mo,Mn0.2Ag0.2Fe0.2Ni0.2Co0.2Mo2O4,0
Mn,Ag,Fe,Ni,Co,N,Mn0.2Ag0.2Fe0.2Ni0.2Co0.2N2O4,0
Mn,Ag,Fe,Ni,Co,Nb,Mn0.2Ag0.2Fe0.2Ni0.2Co0.2Nb2O4,0
Mn,Ag,Fe,Ni,Co,Ni,Mn0.2Ag0.2Fe0.2Ni0.2Co0.2Ni2O4,0
Mn,Ag,Fe,Ni,Co,Ru,Mn0.2Ag0.2Fe0.2Ni0.2Co0.2Ru2O4,0
Mn,Ag,Fe,Ni,Zn,Ag,Mn0.2Ag0.2Fe0.2Ni0.2Zn0.2Ag2O4,0
Mn,Ag,Fe,Ni,Zn,Al,Mn0.2Ag0.2Fe0.2Ni0.2Zn0.2Al2O4,0
Mn,Ag,Fe,Ni,Zn,B,Mn0.2Ag0.2Fe0.2Ni0.2Zn0.2B2O4,0
Mn,Ag,Fe,Ni,Zn,Bi,Mn0.2Ag0.2Fe0.2Ni0.2Zn0.2Bi2O4,0
Mn,Ag,Fe,Ni,Zn,Ti,Mn0.2Ag0.2Fe0.2Ni0.2Zn0.2Ti2O4,0
Mn,Ag,Fe,Ni,Zn,Co,Mn0.2Ag0.2Fe0.2Ni0.2Zn0.2Co2O4,0
Mn,Ag,Fe,Ni,Zn,Cr,Mn0.2Ag0.2Fe0.2Ni0.2Zn0.2Cr2O4,0
Mn,Ag,Fe,Ni,Zn,Cu,Mn0.2Ag0.2Fe0.2Ni0.2Zn0.2Cu2O4,0
Mn,Ag,Fe,Ni,Zn,Fe,Mn0.2Ag0.2Fe0.2Ni0.2Zn0.2Fe2O4,0
Mn,Ag,Fe,Ni,Zn,V,Mn0.2Ag0.2Fe0.2Ni0.2Zn0.2V2O4,0
Mn,Ag,Fe,Ni,Zn,Ga,Mn0.2Ag0.2Fe0.2Ni0.2Zn0.2Ga2O4,0
Mn,Ag,Fe,Ni,Zn,In,Mn0.2Ag0.2Fe0.2Ni0.2Zn0.2In2O4,0
Mn,Ag,Fe,Ni,Zn,Mn,Mn0.2Ag0.2Fe0.2Ni0.2Zn0.2Mn2O4,0
Mn,Ag,Fe,Ni,Zn,Mo,Mn0.2Ag0.2Fe0.2Ni0.2Zn0.2Mo2O4,0
Mn,Ag,Fe,Ni,Zn,N,Mn0.2Ag0.2Fe0.2Ni0.2Zn0.2N2O4,0
Mn,Ag,Fe,Ni,Zn,Nb,Mn0.2Ag0.2Fe0.2Ni0.2Zn0.2Nb2O4,0
Mn,Ag,Fe,Ni,Zn,Ni,Mn0.2Ag0.2Fe0.2Ni0.2Zn0.2Ni2O4,0
Mn,Ag,Fe,Ni,Zn,Ru,Mn0.2Ag0.2Fe0.2Ni0.2Zn0.2Ru2O4,0
Mn,Ag,Fe,Co,Zn,Ag,Mn0.2Ag0.2Fe0.2Co0.2Zn0.2Ag2O4,0
Mn,Ag,Fe,Co,Zn,Al,Mn0.2Ag0.2Fe0.2Co0.2Zn0.2Al2O4,0
Mn,Ag,Fe,Co,Zn,B,Mn0.2Ag0.2Fe0.2Co0.2Zn0.2B2O4,0
Mn,Ag,Fe,Co,Zn,Bi,Mn0.2Ag0.2Fe0.2Co0.2Zn0.2Bi2O4,0
Mn,Ag,Fe,Co,Zn,Ti,Mn0.2Ag0.2Fe0.2Co0.2Zn0.2Ti2O4,0
Mn,Ag,Fe,Co,Zn,Co,Mn0.2Ag0.2Fe0.2Co0.2Zn0.2Co2O4,0
Mn,Ag,Fe,Co,Zn,Cr,Mn0.2Ag0.2Fe0.2Co0.2Zn0.2Cr2O4,0
Mn,Ag,Fe,Co,Zn,Cu,Mn0.2Ag0.2Fe0.2Co0.2Zn0.2Cu2O4,0
Mn,Ag,Fe,Co,Zn,Fe,Mn0.2Ag0.2Fe0.2Co0.2Zn0.2Fe2O4,0
Mn,Ag,Fe,Co,Zn,V,Mn0.2Ag0.2Fe0.2Co0.2Zn0.2V2O4,0
Mn,Ag,Fe,Co,Zn,Ga,Mn0.2Ag0.2Fe0.2Co0.2Zn0.2Ga2O4,0
Mn,Ag,Fe,Co,Zn,In,Mn0.2Ag0.2Fe0.2Co0.2Zn0.2In2O4,0
Mn,Ag,Fe,Co,Zn,Mn,Mn0.2Ag0.2Fe0.2Co0.2Zn0.2Mn2O4,0
Mn,Ag,Fe,Co,Zn,Mo,Mn0.2Ag0.2Fe0.2Co0.2Zn0.2Mo2O4,0
Mn,Ag,Fe,Co,Zn,N,Mn0.2Ag0.2Fe0.2Co0.2Zn0.2N2O4,0
Mn,Ag,Fe,Co,Zn,Nb,Mn0.2Ag0.2Fe0.2Co0.2Zn0.2Nb2O4,0
Mn,Ag,Fe,Co,Zn,Ni,Mn0.2Ag0.2Fe0.2Co0.2Zn0.2Ni2O4,0
Mn,Ag,Fe,Co,Zn,Ru,Mn0.2Ag0.2Fe0.2Co0.2Zn0.2Ru2O4,0
Mn,Ag,Ni,Co,Zn,Ag,Mn0.2Ag0.2Ni0.2Co0.2Zn0.2Ag2O4,0
Mn,Ag,Ni,Co,Zn,Al,Mn0.2Ag0.2Ni0.2Co0.2Zn0.2Al2O4,0
Mn,Ag,Ni,Co,Zn,B,Mn0.2Ag0.2Ni0.2Co0.2Zn0.2B2O4,0
Mn,Ag,Ni,Co,Zn,Bi,Mn0.2Ag0.2Ni0.2Co0.2Zn0.2Bi2O4,0
Mn,Ag,Ni,Co,Zn,Ti,Mn0.2Ag0.2Ni0.2Co0.2Zn0.2Ti2O4,0
Mn,Ag,Ni,Co,Zn,Co,Mn0.2Ag0.2Ni0.2Co0.2Zn0.2Co2O4,0
Mn,Ag,Ni,Co,Zn,Cr,Mn0.2Ag0.2Ni0.2Co0.2Zn0.2Cr2O4,0
Mn,Ag,Ni,Co,Zn,Cu,Mn0.2Ag0.2Ni0.2Co0.2Zn0.2Cu2O4,0
Mn,Ag,Ni,Co,Zn,Fe,Mn0.2Ag0.2Ni0.2Co0.2Zn0.2Fe2O4,0
Mn,Ag,Ni,Co,Zn,V,Mn0.2Ag0.2Ni0.2Co0.2Zn0.2V2O4,0
Mn,Ag,Ni,Co,Zn,Ga,Mn0.2Ag0.2Ni0.2Co0.2Zn0.2Ga2O4,0
Mn,Ag,Ni,Co,Zn,In,Mn0.2Ag0.2Ni0.2Co0.2Zn0.2In2O4,0
Mn,Ag,Ni,Co,Zn,Mn,Mn0.2Ag0.2Ni0.2Co0.2Zn0.2Mn2O4,0
Mn,Ag,Ni,Co,Zn,Mo,Mn0.2Ag0.2Ni0.2Co0.2Zn0.2Mo2O4,0
Mn,Ag,Ni,Co,Zn,N,Mn0.2Ag0.2Ni0.2Co0.2Zn0.2N2O4,0
Mn,Ag,Ni,Co,Zn,Nb,Mn0.2Ag0.2Ni0.2Co0.2Zn0.2Nb2O4,0
Mn,Ag,Ni,Co,Zn,Ni,Mn0.2Ag0.2Ni0.2Co0.2Zn0.2Ni2O4,0
Mn,Ag,Ni,Co,Zn,Ru,Mn0.2Ag0.2Ni0.2Co0.2Zn0.2Ru2O4,0
Mn,Fe,Ni,Co,Zn,Ag,Mn0.2Fe0.2Ni0.2Co0.2Zn0.2Ag2O4,0
Mn,Fe,Ni,Co,Zn,Al,Mn0.2Fe0.2Ni0.2Co0.2Zn0.2Al2O4,0
Mn,Fe,Ni,Co,Zn,B,Mn0.2Fe0.2Ni0.2Co0.2Zn0.2B2O4,0
Mn,Fe,Ni,Co,Zn,Bi,Mn0.2Fe0.2Ni0.2Co0.2Zn0.2Bi2O4,0
Mn,Fe,Ni,Co,Zn,Ti,Mn0.2Fe0.2Ni0.2Co0.2Zn0.2Ti2O4,0
Mn,Fe,Ni,Co,Zn,Co,Mn0.2Fe0.2Ni0.2Co0.2Zn0.2Co2O4,0
Mn,Fe,Ni,Co,Zn,Cr,Mn0.2Fe0.2Ni0.2Co0.2Zn0.2Cr2O4,0
Mn,Fe,Ni,Co,Zn,Cu,Mn0.2Fe0.2Ni0.2Co0.2Zn0.2Cu2O4,0
Mn,Fe,Ni,Co,Zn,Fe,Mn0.2Fe0.2Ni0.2Co0.2Zn0.2Fe2O4,0
Mn,Fe,Ni,Co,Zn,V,Mn0.2Fe0.2Ni0.2Co0.2Zn0.2V2O4,0
Mn,Fe,Ni,Co,Zn,Ga,Mn0.2Fe0.2Ni0.2Co0.2Zn0.2Ga2O4,0
Mn,Fe,Ni,Co,Zn,In,Mn0.2Fe0.2Ni0.2Co0.2Zn0.2In2O4,0
Mn,Fe,Ni,Co,Zn,Mn,Mn0.2Fe0.2Ni0.2Co0.2Zn0.2Mn2O4,0
Mn,Fe,Ni,Co,Zn,Mo,Mn0.2Fe0.2Ni0.2Co0.2Zn0.2Mo2O4,0
Mn,Fe,Ni,Co,Zn,N,Mn0.2Fe0.2Ni0.2Co0.2Zn0.2N2O4,0
Mn,Fe,Ni,Co,Zn,Nb,Mn0.2Fe0.2Ni0.2Co0.2Zn0.2Nb2O4,0
Mn,Fe,Ni,Co,Zn,Ni,Mn0.2Fe0.2Ni0.2Co0.2Zn0.2Ni2O4,0
Mn,Fe,Ni,Co,Zn,Ru,Mn0.2Fe0.2Ni0.2Co0.2Zn0.2Ru2O4,0
Cu,Ag,Fe,Ni,Co,Ag,Cu0.2Ag0.2Fe0.2Ni0.2Co0.2Ag2O4,0
Cu,Ag,Fe,Ni,Co,Al,Cu0.2Ag0.2Fe0.2Ni0.2Co0.2Al2O4,0
Cu,Ag,Fe,Ni,Co,B,Cu0.2Ag0.2Fe0.2Ni0.2Co0.2B2O4,0
Cu,Ag,Fe,Ni,Co,Bi,Cu0.2Ag0.2Fe0.2Ni0.2Co0.2Bi2O4,0
Cu,Ag,Fe,Ni,Co,Ti,Cu0.2Ag0.2Fe0.2Ni0.2Co0.2Ti2O4,0
Cu,Ag,Fe,Ni,Co,Co,Cu0.2Ag0.2Fe0.2Ni0.2Co0.2Co2O4,0
Cu,Ag,Fe,Ni,Co,Cr,Cu0.2Ag0.2Fe0.2Ni0.2Co0.2Cr2O4,0
Cu,Ag,Fe,Ni,Co,Cu,Cu0.2Ag0.2Fe0.2Ni0.2Co0.2Cu2O4,0
Cu,Ag,Fe,Ni,Co,Fe,Cu0.2Ag0.2Fe0.2Ni0.2Co0.2Fe2O4,0
Cu,Ag,Fe,Ni,Co,V,Cu0.2Ag0.2Fe0.2Ni0.2Co0.2V2O4,0
Cu,Ag,Fe,Ni,Co,Ga,Cu0.2Ag0.2Fe0.2Ni0.2Co0.2Ga2O4,0
Cu,Ag,Fe,Ni,Co,In,Cu0.2Ag0.2Fe0.2Ni0.2Co0.2In2O4,0
Cu,Ag,Fe,Ni,Co,Mn,Cu0.2Ag0.2Fe0.2Ni0.2Co0.2Mn2O4,0
Cu,Ag,Fe,Ni,Co,Mo,Cu0.2Ag0.2Fe0.2Ni0.2Co0.2Mo2O4,0
Cu,Ag,Fe,Ni,Co,N,Cu0.2Ag0.2Fe0.2Ni0.2Co0.2N2O4,0
Cu,Ag,Fe,Ni,Co,Nb,Cu0.2Ag0.2Fe0.2Ni0.2Co0.2Nb2O4,0
Cu,Ag,Fe,Ni,Co,Ni,Cu0.2Ag0.2Fe0.2Ni0.2Co0.2Ni2O4,0
Cu,Ag,Fe,Ni,Co,Ru,Cu0.2Ag0.2Fe0.2Ni0.2Co0.2Ru2O4,0
Cu,Ag,Fe,Ni,Zn,Ag,Cu0.2Ag0.2Fe0.2Ni0.2Zn0.2Ag2O4,0
Cu,Ag,Fe,Ni,Zn,Al,Cu0.2Ag0.2Fe0.2Ni0.2Zn0.2Al2O4,0
Cu,Ag,Fe,Ni,Zn,B,Cu0.2Ag0.2Fe0.2Ni0.2Zn0.2B2O4,0
Cu,Ag,Fe,Ni,Zn,Bi,Cu0.2Ag0.2Fe0.2Ni0.2Zn0.2Bi2O4,0
Cu,Ag,Fe,Ni,Zn,Ti,Cu0.2Ag0.2Fe0.2Ni0.2Zn0.2Ti2O4,0
Cu,Ag,Fe,Ni,Zn,Co,Cu0.2Ag0.2Fe0.2Ni0.2Zn0.2Co2O4,0
Cu,Ag,Fe,Ni,Zn,Cr,Cu0.2Ag0.2Fe0.2Ni0.2Zn0.2Cr2O4,0
Cu,Ag,Fe,Ni,Zn,Cu,Cu0.2Ag0.2Fe0.2Ni0.2Zn0.2Cu2O4,0
Cu,Ag,Fe,Ni,Zn,Fe,Cu0.2Ag0.2Fe0.2Ni0.2Zn0.2Fe2O4,0
Cu,Ag,Fe,Ni,Zn,V,Cu0.2Ag0.2Fe0.2Ni0.2Zn0.2V2O4,0
Cu,Ag,Fe,Ni,Zn,Ga,Cu0.2Ag0.2Fe0.2Ni0.2Zn0.2Ga2O4,0
Cu,Ag,Fe,Ni,Zn,In,Cu0.2Ag0.2Fe0.2Ni0.2Zn0.2In2O4,0
Cu,Ag,Fe,Ni,Zn,Mn,Cu0.2Ag0.2Fe0.2Ni0.2Zn0.2Mn2O4,0
Cu,Ag,Fe,Ni,Zn,Mo,Cu0.2Ag0.2Fe0.2Ni0.2Zn0.2Mo2O4,0
Cu,Ag,Fe,Ni,Zn,N,Cu0.2Ag0.2Fe0.2Ni0.2Zn0.2N2O4,0
Cu,Ag,Fe,Ni,Zn,Nb,Cu0.2Ag0.2Fe0.2Ni0.2Zn0.2Nb2O4,0
Cu,Ag,Fe,Ni,Zn,Ni,Cu0.2Ag0.2Fe0.2Ni0.2Zn0.2Ni2O4,0
Cu,Ag,Fe,Ni,Zn,Ru,Cu0.2Ag0.2Fe0.2Ni0.2Zn0.2Ru2O4,0
Cu,Ag,Fe,Co,Zn,Ag,Cu0.2Ag0.2Fe0.2Co0.2Zn0.2Ag2O4,0
Cu,Ag,Fe,Co,Zn,Al,Cu0.2Ag0.2Fe0.2Co0.2Zn0.2Al2O4,0
Cu,Ag,Fe,Co,Zn,B,Cu0.2Ag0.2Fe0.2Co0.2Zn0.2B2O4,0
Cu,Ag,Fe,Co,Zn,Bi,Cu0.2Ag0.2Fe0.2Co0.2Zn0.2Bi2O4,0
Cu,Ag,Fe,Co,Zn,Ti,Cu0.2Ag0.2Fe0.2Co0.2Zn0.2Ti2O4,0
Cu,Ag,Fe,Co,Zn,Co,Cu0.2Ag0.2Fe0.2Co0.2Zn0.2Co2O4,0
Cu,Ag,Fe,Co,Zn,Cr,Cu0.2Ag0.2Fe0.2Co0.2Zn0.2Cr2O4,0
Cu,Ag,Fe,Co,Zn,Cu,Cu0.2Ag0.2Fe0.2Co0.2Zn0.2Cu2O4,0
Cu,Ag,Fe,Co,Zn,Fe,Cu0.2Ag0.2Fe0.2Co0.2Zn0.2Fe2O4,0
Cu,Ag,Fe,Co,Zn,V,Cu0.2Ag0.2Fe0.2Co0.2Zn0.2V2O4,0
Cu,Ag,Fe,Co,Zn,Ga,Cu0.2Ag0.2Fe0.2Co0.2Zn0.2Ga2O4,0
Cu,Ag,Fe,Co,Zn,In,Cu0.2Ag0.2Fe0.2Co0.2Zn0.2In2O4,0
Cu,Ag,Fe,Co,Zn,Mn,Cu0.2Ag0.2Fe0.2Co0.2Zn0.2Mn2O4,0
Cu,Ag,Fe,Co,Zn,Mo,Cu0.2Ag0.2Fe0.2Co0.2Zn0.2Mo2O4,0
Cu,Ag,Fe,Co,Zn,N,Cu0.2Ag0.2Fe0.2Co0.2Zn0.2N2O4,0
Cu,Ag,Fe,Co,Zn,Nb,Cu0.2Ag0.2Fe0.2Co0.2Zn0.2Nb2O4,0
Cu,Ag,Fe,Co,Zn,Ni,Cu0.2Ag0.2Fe0.2Co0.2Zn0.2Ni2O4,0
Cu,Ag,Fe,Co,Zn,Ru,Cu0.2Ag0.2Fe0.2Co0.2Zn0.2Ru2O4,0
Cu,Ag,Ni,Co,Zn,Ag,Cu0.2Ag0.2Ni0.2Co0.2Zn0.2Ag2O4,0
Cu,Ag,Ni,Co,Zn,Al,Cu0.2Ag0.2Ni0.2Co0.2Zn0.2Al2O4,0
Cu,Ag,Ni,Co,Zn,B,Cu0.2Ag0.2Ni0.2Co0.2Zn0.2B2O4,0
Cu,Ag,Ni,Co,Zn,Bi,Cu0.2Ag0.2Ni0.2Co0.2Zn0.2Bi2O4,0
Cu,Ag,Ni,Co,Zn,Ti,Cu0.2Ag0.2Ni0.2Co0.2Zn0.2Ti2O4,0
Cu,Ag,Ni,Co,Zn,Co,Cu0.2Ag0.2Ni0.2Co0.2Zn0.2Co2O4,0
Cu,Ag,Ni,Co,Zn,Cr,Cu0.2Ag0.2Ni0.2Co0.2Zn0.2Cr2O4,0
Cu,Ag,Ni,Co,Zn,Cu,Cu0.2Ag0.2Ni0.2Co0.2Zn0.2Cu2O4,0
Cu,Ag,Ni,Co,Zn,Fe,Cu0.2Ag0.2Ni0.2Co0.2Zn0.2Fe2O4,0
Cu,Ag,Ni,Co,Zn,V,Cu0.2Ag0.2Ni0.2Co0.2Zn0.2V2O4,0
Cu,Ag,Ni,Co,Zn,Ga,Cu0.2Ag0.2Ni0.2Co0.2Zn0.2Ga2O4,0
Cu,Ag,Ni,Co,Zn,In,Cu0.2Ag0.2Ni0.2Co0.2Zn0.2In2O4,0
Cu,Ag,Ni,Co,Zn,Mn,Cu0.2Ag0.2Ni0.2Co0.2Zn0.2Mn2O4,0
Cu,Ag,Ni,Co,Zn,Mo,Cu0.2Ag0.2Ni0.2Co0.2Zn0.2Mo2O4,0
Cu,Ag,Ni,Co,Zn,N,Cu0.2Ag0.2Ni0.2Co0.2Zn0.2N2O4,0
Cu,Ag,Ni,Co,Zn,Nb,Cu0.2Ag0.2Ni0.2Co0.2Zn0.2Nb2O4,0
Cu,Ag,Ni,Co,Zn,Ni,Cu0.2Ag0.2Ni0.2Co0.2Zn0.2Ni2O4,0
Cu,Ag,Ni,Co,Zn,Ru,Cu0.2Ag0.2Ni0.2Co0.2Zn0.2Ru2O4,0
Cu,Fe,Ni,Co,Zn,Ag,Cu0.2Fe0.2Ni0.2Co0.2Zn0.2Ag2O4,0
Cu,Fe,Ni,Co,Zn,Al,Cu0.2Fe0.2Ni0.2Co0.2Zn0.2Al2O4,0
Cu,Fe,Ni,Co,Zn,B,Cu0.2Fe0.2Ni0.2Co0.2Zn0.2B2O4,0
Cu,Fe,Ni,Co,Zn,Bi,Cu0.2Fe0.2Ni0.2Co0.2Zn0.2Bi2O4,0
Cu,Fe,Ni,Co,Zn,Ti,Cu0.2Fe0.2Ni0.2Co0.2Zn0.2Ti2O4,0
Cu,Fe,Ni,Co,Zn,Co,Cu0.2Fe0.2Ni0.2Co0.2Zn0.2Co2O4,0
Cu,Fe,Ni,Co,Zn,Cr,Cu0.2Fe0.2Ni0.2Co0.2Zn0.2Cr2O4,0
Cu,Fe,Ni,Co,Zn,Cu,Cu0.2Fe0.2Ni0.2Co0.2Zn0.2Cu2O4,0
Cu,Fe,Ni,Co,Zn,Fe,Cu0.2Fe0.2Ni0.2Co0.2Zn0.2Fe2O4,0
Cu,Fe,Ni,Co,Zn,V,Cu0.2Fe0.2Ni0.2Co0.2Zn0.2V2O4,0
Cu,Fe,Ni,Co,Zn,Ga,Cu0.2Fe0.2Ni0.2Co0.2Zn0.2Ga2O4,0
Cu,Fe,Ni,Co,Zn,In,Cu0.2Fe0.2Ni0.2Co0.2Zn0.2In2O4,0
Cu,Fe,Ni,Co,Zn,Mn,Cu0.2Fe0.2Ni0.2Co0.2Zn0.2Mn2O4,0
Cu,Fe,Ni,Co,Zn,Mo,Cu0.2Fe0.2Ni0.2Co0.2Zn0.2Mo2O4,0
Cu,Fe,Ni,Co,Zn,N,Cu0.2Fe0.2Ni0.2Co0.2Zn0.2N2O4,0
Cu,Fe,Ni,Co,Zn,Nb,Cu0.2Fe0.2Ni0.2Co0.2Zn0.2Nb2O4,0
Cu,Fe,Ni,Co,Zn,Ni,Cu0.2Fe0.2Ni0.2Co0.2Zn0.2Ni2O4,0
Cu,Fe,Ni,Co,Zn,Ru,Cu0.2Fe0.2Ni0.2Co0.2Zn0.2Ru2O4,0
Ag,Fe,Ni,Co,Zn,Ag,Ag0.2Fe0.2Ni0.2Co0.2Zn0.2Ag2O4,0
Ag,Fe,Ni,Co,Zn,Al,Ag0.2Fe0.2Ni0.2Co0.2Zn0.2Al2O4,0
Ag,Fe,Ni,Co,Zn,B,Ag0.2Fe0.2Ni0.2Co0.2Zn0.2B2O4,0
Ag,Fe,Ni,Co,Zn,Bi,Ag0.2Fe0.2Ni0.2Co0.2Zn0.2Bi2O4,0
Ag,Fe,Ni,Co,Zn,Ti,Ag0.2Fe0.2Ni0.2Co0.2Zn0.2Ti2O4,0
Ag,Fe,Ni,Co,Zn,Co,Ag0.2Fe0.2Ni0.2Co0.2Zn0.2Co2O4,0
Ag,Fe,Ni,Co,Zn,Cr,Ag0.2Fe0.2Ni0.2Co0.2Zn0.2Cr2O4,0
Ag,Fe,Ni,Co,Zn,Cu,Ag0.2Fe0.2Ni0.2Co0.2Zn0.2Cu2O4,0
Ag,Fe,Ni,Co,Zn,Fe,Ag0.2Fe0.2Ni0.2Co0.2Zn0.2Fe2O4,0
Ag,Fe,Ni,Co,Zn,V,Ag0.2Fe0.2Ni0.2Co0.2Zn0.2V2O4,0
Ag,Fe,Ni,Co,Zn,Ga,Ag0.2Fe0.2Ni0.2Co0.2Zn0.2Ga2O4,0
Ag,Fe,Ni,Co,Zn,In,Ag0.2Fe0.2Ni0.2Co0.2Zn0.2In2O4,0
Ag,Fe,Ni,Co,Zn,Mn,Ag0.2Fe0.2Ni0.2Co0.2Zn0.2Mn2O4,0
Ag,Fe,Ni,Co,Zn,Mo,Ag0.2Fe0.2Ni0.2Co0.2Zn0.2Mo2O4,0
Ag,Fe,Ni,Co,Zn,N,Ag0.2Fe0.2Ni0.2Co0.2Zn0.2N2O4,0
Ag,Fe,Ni,Co,Zn,Nb,Ag0.2Fe0.2Ni0.2Co0.2Zn0.2Nb2O4,0
Ag,Fe,Ni,Co,Zn,Ni,Ag0.2Fe0.2Ni0.2Co0.2Zn0.2Ni2O4,0
Ag,Fe,Ni,Co,Zn,Ru,Ag0.2Fe0.2Ni0.2Co0.2Zn0.2Ru2O4,0
